,Title,genres,original_language,poster_path
0,Laapataa Ladies,"Comedy, Drama",hi,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQGH9eNp2Ldsx8wOX3u0Wqb_DJhHQV5QMvCkSNflSnsW1R4gekP7u_mdjvVNP9vocOTEpji
1,Aashiqui 2,"Romance,Drama",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQzQdGamkV9zfzm2n_-b_jDxCKZZ1K5hUULGx4NhY3FLphMNrol
2,Dasvi,"Drama,Comedy",hi,https://www.google.com/url?sa=i&url=https%3A%2F%2Fencrypted-tbn3.gstatic.com%2Fimages%3Fq%3Dtbn%3AANd9GcRJaOwuiDXnrzb_T1hxNr9kFd9ZerPR1KffuLaG98bEYrP5g2kH&psig=AOvVaw00XrNEMLMnZF5Yrx7p09qr&ust=1739338036867000&source=images&cd=vfe&opi=89978449&ved=0CBAQjRxqFwoTCLCBzKzxuosDFQAAAAAdAAAAABAE
3,Hurdang,"Drama,Romance",hi,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRVE92ZIRGnNogM7mECLLD3GSG0oOcyhhJFD-1tIyIF0vUj5ZSqX4Baze9p8W2wtUplZSl1
4,Jersey,Drama,hi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlaX5HVR38qjSKUGvjfeX6Cjr8KRKnQkY3HMJkgPp3mMvxELLja0hLUiJs-7Mc_DUe2IApXQ
5,Operation Romeo,"Drama,Thriller",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRtta-J1W8uzCdScQ8a3uEEqjNUYtSSC0fZxCcGUS9_ZrDjKq30xn_t83HQtXiHjyAwt_T0ww
6,Runway 34,"Thriller,Drama",hi,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS7XA-DhMnm8wllVB7zlv-vUHirA-vMNmMWdBQuhKb8NHTbIq3Lr7JGZ9xe12qIxCJluH-cCw
7,Heropanti 2,"Action,Drama,Romance",hi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyS89kglazqxMMU6NteOi2jr6mXLGZpfwjrew8jsK6KMMuOLWXqX9eYZp92RKT0jXQlNBE
8,Mere Desh Ki Dharti,"Comedy,Drama",hi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_GIVo9bGCa-ngjCwH0kLFN9-5inwSY9e5tzFESwNb-EVsqoFf3eKovMZO-Jc2d72cD8oDgg
9,Thar,"Western,Action,Thriller,Drama,Crime",hi,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQNYTWXUO6v3eTdChmQddRmrJJTTEdJKZoBGqN10odKB9DZi5XO-DHEIP5dREEE1-zqD5xF7g
