 ,Title,genres,original_language,overview,poster_path
3360,Sardar Ji 2,"Comedy, Adventure",pu,"Desperate to save his village from financial ruin, a farmer travels overseas in search of greener pastures. However, his life turns upside down after he becomes the target of a criminal nexus.",https://upload.wikimedia.org/wikipedia/en/6/6f/Sardaarji_2_-_Poster.jpg
3361,Manje Bistre,"Comedy, Drama",pu,"While getting prepared for his sister's wedding, a young man attempts to woo a girl whose marriage to another man has already been fixed.",https://t1.gstatic.com/licensed-image?q=tbn:ANd9GcTPHJxE9jeDg9TDe2AHOri4NCIpwCQHL1FfILseE_AFJAkMn1Hp8T4De-uO9ePDpswFE5EW4H3RUBXVL19i
3362,Sajjan Singh Rangroot,"War, Action",pu,"A Sikh serving in the British Indian Army is deputed to Europe to fight in World War I.
This film is based on Sikh regiments that went to the front lines during WWI. Sajjan Singh, a polo aficionado, was a British Indian Army officer and Maharaja of Ratlam State, ruling from 1893-1947. He served on the Western Front during WWI.",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTWaE0660-jVgAAQ3zGdX1ZA9HH4cjVujHJeRem2pbz8N2YiJzDyvCNBlPHhEsqRIoHbZd9pw
3363,Sufna,"Romance, Drama",pu,"Jeet is a free-spirited youth in the village, but he does not care or have any goals in life. But his life changes, when he meets Teg, a beautiful young girl from another village.",https://assets-in.bmscdn.com/discovery-catalog/events/et00125484-yrpnpldlzn-landscape.jpg
3364,Qismat 2,"Romance, Drama",pu,"A story about unrequitted love - the shapes it takes, the ways it change us and the exhilarating and often heartbreaking role it take us on. Following Shiv, Bani and Majaz as they navigate through life, love and sorrow.",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQlH0dhNuvxJtiyMlvkSsrsTEgDsy0s4b6sqsj46bOuKi7c8-OApsmWfxG6D5ZYTO5bzI5y7w
3365,Puaada,"Comedy, Drama",pu,"Jaggi, a farmer, and Raunak, a young woman, love each other and wish to get married. However, they face several challenges in their quest to unite.",http://t1.gstatic.com/images?q=tbn:ANd9GcRzdWKVizMBtLxa7LK8vOlXRXSKDO2sW71Glmcr7SnIp77jBfvpKBz9RJFXNNuDyf4q93v30-70MRIqCsCbipuR61ZIAZuRiA
3366,Carry On Jatta,"Comedy, Drama",pu,"Jass falls in love with Mahie who wants to marry an orphan, so he lies to her and tells her he has no family, and finds himself in hilarious situations when he has to hide the truth once they get married.",https://t2.gstatic.com/licensed-image?q=tbn:ANd9GcSdtb61qcUeIN3zVuQ4foREaG7M47JYOZj47kMMIWtsozWDpNgCvYcBw35mOfoDwQGbt5X74QMowelLxB9R
3367,Nikka Zaildar 3,"Comedy, Romance",pu,"Nikka's grandfather, Bhaag Singh, is a wealthy miserly owner; however, the day after his death, his family spends his savings; the spirit of Bhaag Singh then enters the body of Nikka to express his dissatisfaction.",http://t1.gstatic.com/images?q=tbn:ANd9GcQww_NgJ2nbXmbR9T-e-k8_ObMkzwQowuIYGkBfHiKtUJBollzKE36LqJG3uyvczuZqFB4QRE3PntHxwCa6_2FfeCA9IQTDhQ
3368,Chal Mera Putt,"Comedy, Drama",pu,"A group of six illegal immigrants from India and Pakistan living in Birmingham experience difficulties, but find solidarity in their shared quest for a residence card.",http://t0.gstatic.com/images?q=tbn:ANd9GcR6m7qRoQgzBqa18mHzQ_W2e7eQ4zAQxt5o5yPPlVlJM4sMB--Ms-kVfG0xnrC_0PpBa02FHltIY2yOztUb_fdrouJSlYrTbw
3369,Sargi,"Comedy, Drama",pu,"Babbu is in love with Sargi since their college days. Sargi fakes a marriage to travel abroad to support her family, and is stuck between three eligible suitors who have fallen in love with her.",https://t2.gstatic.com/licensed-image?q=tbn:ANd9GcTs1IT0x0oj-mP8nPihEV4C8hZc9Mb42QA99qqVQD0vSAuRWLWfqJ2y-iuFqg5pMQagcwxLQ5G14RZhuFoO
3370,Rabb Da Radio,"Romance, Drama",pu,"Revolving around family problems, love, hate and much more. A couple from vastly different economic backgrounds struggle to keep their budding romance alive amidst escalating family pressure",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaaxxwCPAxE3IFM7W3TD20jTYB-6WukgVukb_llMm21pngLDmRfuqP6Cwp0TwNy9OOurU&usqp=CAU
3371,Oye Makhna,"Romance, Comedy",pu,"When Makhan falls in love with a girl after seeing just her eyes, he and his uncle go to hilarious lengths to find her. Utter chaos follows when they realize they've arranged a wedding with the wrong girl. As the pressure mounts to clear up the confusion, the very integrity of their family is threatened.",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQABAlynvyXmJOZUqFn3Oavb-hfS0PxdhXT8Rh2YB1KEi1dWXy32jeodlFNNHTuHS9-_kQysA
3372,Shava Ni Girdhari Lal,"Romance, Comedy",pu,"A man is desperate to find a match because of his increasing age, but makes everyone uncomfortable and gets into trouble every time he meets a gorgeous girl.",https://t3.gstatic.com/licensed-image?q=tbn:ANd9GcSlVVh74k0TOcuLc_PsJZFACAnrBXiGxnWO92DnoryH6XUzwpSnRszs4-KjEx7NDZ-JoC1SCWPZcBR8yGjy
3373,Tara Mira,Romance,pu,"Tara's father wants only the Jatt community to reside in Punjab. Tara mistakes his love interest Mira as a Punjabi, but in reality, she belongs to the same caste his father is biased against. Tara requests Mira's family to pretend to be Jatts but the game of lies soon leads to confusion and chaos as they try to find a way to be together.",https://assets-in.bmscdn.com/discovery-catalog/events/et00113369-lverjbfyvj-landscape.jpg
3374,Yaara O Dildaara,"Romance, Family",pu,"The patriarch of a wealthy family has one industrious son and one who is a playboy, and accidentally arranges the marriage of one to the woman the other loves.",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT33vtHvs6FgYktFNG5CIhv1E_rGJVS45Qgb9u_hiqWj_mftth2
3375,Muklawa,"Romance, Comedy",pu,"After Shinda gets married to Taaro, he must wait for a certain period of time to meet her due to an old custom called 'Muklawa' where the bride goes back to her mother's house after her marriage.",https://assets-in.bmscdn.com/discovery-catalog/events/et00100305-vdwhsfsnlf-landscape.jpg
3376,Honsla Rakh,"Romnace, Comedy",pu,"The film depicts the story of a divorced father who is raising his son on his own. When he starts dating, romance and comedy ensue.",https://st1.bollywoodlife.com/wp-content/uploads/2021/10/Shehnaaz-Gill-Honsla-Rakh.jpg
3377,Disco Singh,"Comedy, Romance",pu,"Lattu, an aspiring singer, is in love with Sweety, a model, and wishes to date her. Soon, his dream of being together with her comes true but with a hilarious twist.",http://t1.gstatic.com/images?q=tbn:ANd9GcTgYFtUie6dRueA1EP_76cxKRbShj8mAa_ovItOmQxbgk290BwhdLZrUN8yAVaYmX4G_gnJ-lQqwHt9LEcR9xlbbaoiE5abIQ
3378,Shadaa,"Romance, Comedy",pu,"The film starring Diljit Dosanjh and Neeru Bajwa, follows the story of an average man looking for a bride and what happens when he finally marries a girl who thinks marriage is beautiful.",https://i.ytimg.com/vi/qQy0hplXObI/maxresdefault.jpg
3379,Marriage Da Garriage,"Romance, Comedy",pu,"Two former prison inmates and friends endeavour to turn over a new leaf. However, since starting over is tougher than it sounds, they think of a unique business idea to make money.",https://t1.gstatic.com/licensed-image?q=tbn:ANd9GcTL5R7Snif_Grz6RBmcTz7PRNzb9vXYCXIZhiN74rfi9Zk9q6EA3E2KRD4NTVGei7A0mrWn-uqoKsfS1emR
3380,Aa Gaye Munde U.K De,"Romance, Comedy",pu,A romantic comedy set in the lush fields of Punjab and the beautiful city of Chandigarh - Aa Gaye Munde U.K. De is a sequel to the earlier blockbuster Munde U.K. De also Directed by the Doyen of Punjabi cinema.,https://images.justwatch.com/backdrop/47623167/s640/aa-gaye-munde-u-k-de
3381,Jihne Mera Dil Lutteya,"Romance, Comedy",pu,"Two very close friends, Yuvraj and Gurnoor, fall in love with the same girl, Noor and they decide to win her heart through various methods.",https://t3.gstatic.com/licensed-image?q=tbn:ANd9GcRznW5zIwLqznQ2vmMKyCvOQ18CbSQKof2nMC0C8kqYVsBzikebuGglab-Vy1nbEh29Ozd4TAoM5ZLCDRF-
3382,Mukhtiar Chadha,"Romance, Comedy",pu,"After his father's demise due to poverty, Mukhtiar dreams of being wealthy and enters the real estate business. However, trouble ensues when he comes into conflict with a mafia group.",https://t3.gstatic.com/licensed-image?q=tbn:ANd9GcRfDpiyLKuMb48JtGnGEKHEzhrzkZmaXvY0Ug7MTBVxAGEIj3Au1rsva9yCgw2BQM4L52zjkB_9mTGsavXw
3383,Yaar Mera Titliyaan Warga,"Romance, Drama",pu,"A couple after six years of marriage are bored from each other. To spice things up, both of them open fake Facebook accounts. But things go sideways when, accidentally, they befriend each other on Facebook.",https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcRIje8VE3z4Sihuzc1_NMtM5C0kg3d-en3_lxfjwY-YyVNK-DyOl0dVcNcxgQTSTRi176Gl9n069LUpWM6t
3384,Daaka,"Action, Comedy",pu,"A man tries robbing a bank so he can be wealthy enough to marry the love of his life. He ends up getting caught, but it turns out that he has a much bigger plan in mind that involves one of Punjab's biggest criminals.",https://t3.gstatic.com/licensed-image?q=tbn:ANd9GcSR5iJAlkHRXqG-psIcvbzPYGsr7nJfqynmfGYPzxKE_Fa8QMQ18XqbFk0IGwS6KUGfuwPpNzoAvxZrUya6
3385,25 Kille,"Action, Drama",pu,"The lives of four brothers change when they receive news of ancestral property, which is under their name. However, the land is in the possession of two ruthless feudal lords.",http://t1.gstatic.com/images?q=tbn:ANd9GcQhEPqtQXtgOjs2TILROqI5c0TpSg4pLFcHLU3AWRFvhn-UFv9Y7ydvuC_L9Q_FgzcSm5oByEToLxZTqtZRIVVhT27n9zPeOg
3386,Khadari,"Action, Drama",pu,The brother of a well-known gangster falls in love with the sister of a respected policeman while training for a wrestling tournament.,http://t1.gstatic.com/images?q=tbn:ANd9GcSLghT9R9PXG8fJQJVwReYHjpHtaOZzN83buPSHmjHDRcJdhK57XVezNNzSwmJEqzIHJm6I17YU8uehXry7c3aFI-AA5xWN7w
3387,Warning 2,"Action, Drama",pu,"Geja fails to assassinate Pamma and ends up in the same jail, where he's intent on finishing the job. A merciless cop's plan to transfer the dangerous prisoners escalates the situation.",https://t1.gstatic.com/licensed-image?q=tbn:ANd9GcTYImDwq_miSFoeAAViddNkV2pzsJLclemxNtc9MRFuGTkk4hfeUdX2Xya19GelQtKMi31I-a21eW9hkwRH
